"שם מוצר","מק""ט",כמות,"יחידת מידה","האם מגיע במארז","צורת מארז","יחידת מידה במארז","מספר פריטים במארז",קטגוריה,ספק,"מחיר מחירון","אחוז הנחה",פיקדון,מיסים,"מוצר חייב במע""מ","צורת ספירת מלאי","ברקוד יצרן","הגבלת כמות להזמנה"
"בטטה אצבע ק""ג",42103,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",9,0,0,,לא,מוצר,,
"רימון ק""ג",45108,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",11.9,0,0,,לא,מוצר,,
"נענע  מהדרין (היתר מכירה)",47053,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",21,0,0,,לא,מוצר,,
כוסברה,40021,0.5,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",9,0,0,,לא,מוצר,,
"נבטי אפונה יח'",40302,1,יחידות,לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",9.8,0,0,,לא,מוצר,,
"ערכת עגלה בלק אנגוס קריספי  טרי",20070,1,"ק""ג",לא,מארז,יחידות,1,בשר,"אק.סי.לנס מייט בע״מ",42,0,0,,כן,מוצר,,
"בלון פסטל ""12 צבעוני (ללא כתום) מודפס ב-2 צבעים: כתום ושחור",,1,יחידות,לא,,,,"חד פעמי ואריזות","בולי בלון",1.78,0,0,,כן,מוצר,,
"גלופה 1 - X(מודפס כתום14 כהה)",,1,יחידות,לא,,,,"חד פעמי ואריזות","בולי בלון",0,0,0,,כן,מוצר,,
"(The + By Crispy - 2 גלופה (מודפס שחור",,1,יחידות,לא,,,,"חד פעמי ואריזות","בולי בלון",0,0,0,,כן,מוצר,,
"תוספת הדפסה 2 צבעים",,1,יחידות,לא,,,,"חד פעמי ואריזות","בולי בלון",203.39,0,0,,כן,מוצר,,
מקלות+רוזטות,,1,יחידות,לא,,,,"חד פעמי ואריזות","בולי בלון",33.85,0,0,,כן,מוצר,,
משלוח,,1,יחידות,לא,,,,"חד פעמי ואריזות","בולי בלון",38.14,0,0,,כן,מוצר,,
"צהובה מלקוויטה 400 גר",5900512984483,1,יחידות,לא,,,,"מוצרי חלב וגבינות","מיגם יבוא בעמ",13.6,0,0,,כן,מוצר,,
"חרדל אמיתי תלמה 5 ק״ג",50352,5,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",76,0,0,,כן,מוצר,,
"צנובר 1 קילו",650,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",114.99,0,0,0,כן,מוצר,,
"חומוס a2",100,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",4.5,0,0,0,כן,מוצר,,
"פלפל שחור גרוס/טחון 1 קג",570,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",64,0,0,0,כן,מוצר,,
"מייר עטיפה 67 גר משולב אלומניום",72900086695,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.36,0,0,,כן,מוצר,,
"חרדל אמריקאי אמיתי 3.79",65418,3.78,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",57,0,0,,כן,מוצר,,
"סלרי עלים",75,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",20,0,0,,לא,מוצר,,
